"filename", "language", "Dart", "YAML", "Markdown", "Ruby", "C++", "Groovy", "Properties", "XML", "JSON", "Swift", "HTML", "Shell Script", "comment", "blank", "total"
"/Users/csells/Code/Other/flutter_ai_toolkit/example/android/app/src/profile/AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 4, 1, 8
"/Users/csells/Code/Other/flutter_ai_toolkit/example/android/build.gradle", "Groovy", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 3, 19
"/Users/csells/Code/Other/flutter_ai_toolkit/example/android/gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/csells/Code/Other/flutter_ai_toolkit/example/android/gradle/wrapper/gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 5
"/Users/csells/Code/Other/flutter_ai_toolkit/example/android/settings.gradle", "Groovy", 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 2, 5, 29
"/Users/csells/Code/Other/flutter_ai_toolkit/example/assets/README.md", "Markdown", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"/Users/csells/Code/Other/flutter_ai_toolkit/example/assets/recipes_default.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 296, 0, 0, 0, 0, 0, 296
"/Users/csells/Code/Other/flutter_ai_toolkit/example/ios/Flutter/AppFrameworkInfo.plist", "XML", 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 1, 27
"/Users/csells/Code/Other/flutter_ai_toolkit/example/ios/Podfile", "Ruby", 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 45
"/Users/csells/Code/Other/flutter_ai_toolkit/example/ios/Runner.xcodeproj/project.xcworkspace/xcshareddata/IDEWorkspaceChecks.plist", "XML", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 1, 9
"/Users/csells/Code/Other/flutter_ai_toolkit/example/ios/Runner.xcworkspace/xcshareddata/IDEWorkspaceChecks.plist", "XML", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 1, 9
"/Users/csells/Code/Other/flutter_ai_toolkit/example/ios/Runner/AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 2, 14
"/Users/csells/Code/Other/flutter_ai_toolkit/example/ios/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 122, 0, 0, 0, 0, 1, 123
"/Users/csells/Code/Other/flutter_ai_toolkit/example/ios/Runner/Assets.xcassets/LaunchImage.imageset/Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 1, 24
"/Users/csells/Code/Other/flutter_ai_toolkit/example/ios/Runner/Assets.xcassets/LaunchImage.imageset/README.md", "Markdown", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"/Users/csells/Code/Other/flutter_ai_toolkit/example/ios/Runner/Base.lproj/LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 1, 1, 38
"/Users/csells/Code/Other/flutter_ai_toolkit/example/ios/Runner/Base.lproj/Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 1, 1, 27
"/Users/csells/Code/Other/flutter_ai_toolkit/example/ios/Runner/Info.plist", "XML", 0, 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 1, 56
"/Users/csells/Code/Other/flutter_ai_toolkit/example/ios/Runner/Runner-Bridging-Header.h", "C++", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/csells/Code/Other/flutter_ai_toolkit/example/ios/RunnerTests/RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 2, 4, 13
"/Users/csells/Code/Other/flutter_ai_toolkit/example/lib/cupertino/cupertino.dart", "Dart", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9, 43
"/Users/csells/Code/Other/flutter_ai_toolkit/example/lib/custom_styles/custom_styles.dart", "Dart", 225, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18, 246
"/Users/csells/Code/Other/flutter_ai_toolkit/example/lib/dark_mode/dark_mode.dart", "Dart", 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11, 71
"/Users/csells/Code/Other/flutter_ai_toolkit/example/lib/demo/api_key_page.dart", "Dart", 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 99
"/Users/csells/Code/Other/flutter_ai_toolkit/example/lib/demo/demo.dart", "Dart", 307, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 29, 339
"/Users/csells/Code/Other/flutter_ai_toolkit/example/lib/echo/echo.dart", "Dart", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8, 31
"/Users/csells/Code/Other/flutter_ai_toolkit/example/lib/gemini/gemini.dart", "Dart", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9, 41
"/Users/csells/Code/Other/flutter_ai_toolkit/example/lib/history/history.dart", "Dart", 133, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 29, 174
"/Users/csells/Code/Other/flutter_ai_toolkit/example/lib/main.dart", "Dart", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9, 41
"/Users/csells/Code/Other/flutter_ai_toolkit/example/lib/recipes/data/recipe_data.dart", "Dart", 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17, 101
"/Users/csells/Code/Other/flutter_ai_toolkit/example/lib/recipes/data/recipe_repository.dart", "Dart", 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 19, 90
"/Users/csells/Code/Other/flutter_ai_toolkit/example/lib/recipes/pages/edit_recipe_page.dart", "Dart", 252, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 27, 284
"/Users/csells/Code/Other/flutter_ai_toolkit/example/lib/recipes/pages/home_page.dart", "Dart", 121, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18, 142
